Price	Item title	Item description	Final URL	Image URL	ID	Item Category
1160 UAH	Thalgo Маска Sos Успокаивающая Thalgo Sos Soothing Mask   50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/sos_uspokaivayuschaya_maska_sos_soothing_mask	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17029masquesosapaisant-tube50ml-458x458.jpg	VT17029	Thalgo
972 UAH	Тальго Маска Абсолютная Чистота   40ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/maska_absolyutnaya_chistota_absolute_purifying_mask	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt14030purete-marine---masque-clarte-absolue-458x458.png	VT14030	Thalgo
1160 UAH	Thalgo Маска Интенсивно Питательная Thalgo Deeply Nourishing Mask  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/holodnaya_intensivnaya_pitatelnaya_maska_deeply_nourishing_mask	https://healthytrends.com.ua/image/cache/catalog/Tape/vt15009-600x600-458x458.jpg	VT15009	Thalgo
378 UAH	Thalgo Flash Lift Shot Mask  20ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/maska/thalgo_flash_lift_shot_mask%20	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19023masqueliftflash-458x458.jpg	VT19023	Beauty
3554 UAH	Thalgo Маска Сокровища Океанов  Thalgo Prodige Des Oceans Mask  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/maska_morskoy_intellekt_prodige_des_oceans_mask	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16013lemasqueprodige-458x458.jpg	VT16013	Thalgo
378 UAH	Thalgo Energy Booster Shot Mask  20ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/maska/thalgo_energy_booster_shot_mask	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vt19025masquemasqueboosterenergie-458x458.jpg	VT19025	Beauty
959 UAH	Thalgo Матирующий Пудровый Лосьон Thalgo Mattifying Powder Lotion  200ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/matiruyuschiy_pudrovyiy_loson_mattifying_powder_lotion	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt17002puretemarine-lotionpoudreematifiante-458x458.jpg	VT17002	Thalgo
1498 UAH	Thalgo ПРО-МАСКА Корректирующая Морщины Thalgo Wrinkle Correcting Pro Mask  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/wrinkle_correcting_pro_mask_thalgo	https://healthytrends.com.ua/image/cache/catalog/Thalgo/vtmasqueprocorrectionrides-tube50ml-458x458.png	VT19013	Beauty
1498 UAH	Thalgo ПРО-Патчи Для Контура Глаз Корректирующие Морщины Thalgo Wrinkle Correcting Eye Pro Patches  8 Масок	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/uhod_dlya_glaz/%20wrinkle_correcting-eye_%20pro_patches_thalgo	https://healthytrends.com.ua/image/cache/catalog/Thalgo/gtpatchsproregardcorrectionrides-sachet1.5ml-vudehaut-458x458.png	VT19014	Beauty
627 UAH	Thalgo Lip Scrub  10 g	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/thalgo_lip_scrub	https://healthytrends.com.ua/image/cache/catalog/Thalgo/fullsizeoutput_38f1-458x458.jpeg	GT19091	Thalgo
1177 UAH	Тальго Солнцезащитный Гиалуроновый Крем Для Лица SPF30    50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/gialuronovyiy_solntsezaschitnyiy_krem_dlya_litsa_spf30_age_defence_sunscreen_cream_spf30	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15031cremesolaireagedefensespf30-tube50ml-458x458.png	VT15031	Thalgo
1850 UAH	Thalgo Intense Moisture-Quenching Serum 30  Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/lico/%20thalgo_intense_moisture_quenching_serum%20	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vtserumdesalterantintensif-tubepompe30mlouvert-458x458.png	VT20008	Beauty
1271 UAH	Thalgo Rehydrating Pro Mask  50 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/thalgo_rehydrating_pro_mask	https://healthytrends.com.ua/image/cache/catalog/uvlazhnenie/vtmasqueprorehydratant-tubepinceau50mlouvert1-458x458.png	VT20007	Beauty
