price	title	description	link	image_link	id	availability	product_type
146.70 UAH	Хамон Карчеледжо Курадо 100г	Хамон карчеледжо курадо 100г	https://foodlogistic.com.ua/ru/khamon-karcheledzho-kurado-100g/	https://foodlogistic.com.ua/content/images/10/350x350l80tl0/47609421950510.jpeg	1234918	in stock	Каталог
106.20 UAH	Ветчина Касадемонт Хамон Серрано 80г Испания	Ветчина касадемонт хамон серрано 80г испания	https://foodlogistic.com.ua/ru/shinka-kasademont-khamon-serrano-80g-ispaniya/	https://foodlogistic.com.ua/content/images/11/390x390l80tl0/86623471376967.jpeg	1234919	in stock	Каталог
67.50 UAH	Хамон Espana Серрано Бодега 50г	Хамон espana серрано бодега 50г	https://foodlogistic.com.ua/ru/khamon-espana-serrano-bodega-50g/	https://foodlogistic.com.ua/content/images/12/390x390l80tl0/68746389329952.jpeg	1234920	in stock	Каталог
81.90 UAH	Хамон Argal Серрано Сыровяленый Нарезка 70г	Хамон argal серрано сыровяленый нарезка 70г	https://foodlogistic.com.ua/ru/khamon-argal-serrano-sirovyaleniy-narizka-70g/	https://foodlogistic.com.ua/content/images/13/350x350l80tl0/18641887028886.jpeg	1234921	in stock	Каталог
958.50 UAH	Хамон Мини Pont 1кг	Хамон мини pont 1кг	https://foodlogistic.com.ua/ru/khamon-mini-pont-1kg/	https://foodlogistic.com.ua/content/images/14/390x390l80tl0/88948155968431.jpeg	1234922	in stock	Каталог
25.44 UAH	Сардельки "Люкс"	Сардельки "люкс"	https://foodlogistic.com.ua/ru/sardelki-luks-100g/	https://foodlogistic.com.ua/content/images/34/390x390l80tl0/69509700965834.jpeg	1234934	in stock	Каталог
30.69 UAH	Сосиски "Индюшатко"	Сосиски "индюшатко"	https://foodlogistic.com.ua/ru/sosiski-indushatko-100g/	https://foodlogistic.com.ua/content/images/35/390x390l80tl0/82710950469518.png	1234935	in stock	Каталог
96.30 UAH	Консервы Алан Мясо Кур в Собственном Соку 525г	Консервы алан мясо кур в собственном соку 525г	https://foodlogistic.com.ua/ru/konservi-alan-myaso-kurey-u-vlasnomu-soku-525g/	https://foodlogistic.com.ua/content/images/36/390x390l80tl0/56654856486966.jpeg	1234891	in stock	Каталог
83.70 UAH	Ветчина Алан Охотничья Тушеная Консервированная 325г	Ветчина алан охотничья тушеная консервированная 325г	https://foodlogistic.com.ua/ru/shinka-alan-mislivska-tushkovana-konservovana-325g/	https://foodlogistic.com.ua/content/images/37/350x350l80tl0/20055882355384.jpeg	1234892	in stock	Каталог
78.30 UAH	Ветчина Алан Киевская Консервированная 325г	Ветчина алан киевская консервированная 325г	https://foodlogistic.com.ua/ru/shinka-alan-kiivska-konservovana-325g/	https://foodlogistic.com.ua/content/images/38/350x350l80tl0/80593795660999.jpeg	1234893	in stock	Каталог
