Код,"Альтернативный код",Бренд,Наименование,Применение,"Цена закупки","Цена продажи",Количество,Склад,"Локальный склад?","Фото детали"
224533C120,224533C110/DN224533C110/KM0400982RU/P1GA063/Z04GSKRU00862,KIA-HYUNDAI,"Прокладка клапанной крышки левой","Sonata NF 3.3L , Veracruz 3.8L",0,270,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/224533c120-hyundai-01.jpg
0K88R10631,,KIA-HYUNDAI,"Уплотнитель крышки ГРМ верхний","Pregio Terracan Besta Carnival",0,27,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k88r10631-kia-01.jpg
2102045920,BTH063010025/CJA031A/KM0100076/M121H025/2121141911,KIA-HYUNDAI,"Вкладыши коренные (0.25)","HD65 HD72 HD78 A-069 (D4AF.D4AL.D4DB.)",0,747,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2102045920-kia-hyundai-01.jpg
SP1072,000610BSX/0986424368/5810143A00/5810144A00/581014BA00/581014BA10/5811544020S/BP1018/C10500H/C10500PR/D11112M/D343E/EC1072/FPH06/FVR1014/GDB3089/J3600513/KBPH097/KM0703313/KM0703313E9/KM0703353/KM0703353E9/MPH05/PF0848/PF1808/PKA005/PN0112/Z07PADE900946/5811544020,SANGSIN,"Колодки тормозные передние","H-100 H200",0,387,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/sp1072-sangsin-02.jpg
819962L000,819961W010/819962L001/819962L001FFF,KIA-HYUNDAI,"Ключ-заготовка (лезвие)","i30 08~ IX35 Ceed Picanto Sportage",0,140,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/819962l000-kia-hyundai-02.jpg
971573SAA0,6NW351345061,HCC,"Привод заслонки отопителя","Azera 11~ Creta 16~ Elantra 11~ i30 12~ Sonata 09~ Ceed 12~ Cerato 12~ K3 12~ K5 13~ Optima 10~",0,288,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/971573saa0-hcc-03.jpg
EX546603J200,546603J000/546603J100/546603J200/A25100/EX546603J000/EX546603J100/S546603J200/SA1030B/SA1030C,MANDO,"Амортизатор передний правый (газ)",Veracruz,0,1386,1,"Кременчуг - 1",1,
819004A310D,819004A310B/819004A310C,KIA-HYUNDAI,"Замок зажигания","H-1 02~ 07~",0,2484,1,"Кременчуг - 1",1,
KM0701339,0K30A41150C/F60306OEM/GCBK077/J2300301/K07CBLSD05915/PTB018,TOPIC,"Трос зчеплення","Rio  01~",0,158,1,"Кременчуг - 1",1,
1879001112,,KIA-HYUNDAI,"Предохранитель 30A",Univ,0,9,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/1879001112-kia-hyundai-01.jpg
A238FCM,,AUTOCLOVER,"Накладка на лючок бензобака (хром)","Sonata NF 04-09",0,378,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/a238fcm-autoclover-02.jpg
KM0100607,241804A000/241804A001/241804A002/241804A010/CETA038/K01CAMCN00015/KM0100607CHN/422006310,TOPIC,"Рокер выпускной","Sorento 2.5TD (D4CB) H-1 D4CB",0,108,8,"Кременчуг - 1",1,
245603CGA1,245603CGA0,KIA-HYUNDAI,"Башмак цепи распредвалов","3,8i Equus 13~ Genesis 08~ Quoris 12~",0,270,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/245603cga1-hyundai-01.jpg
92102FD021,,KIA-HYUNDAI,"Фара передняя правая (мех) (белый повторитель)","Rio 03-05",0,1341,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/92102fd021-kia-03.jpg
0K55328200A,,KIA-HYUNDAI,"Рычаг задней подвески (продольный)","Carnival 99-05",0,1080,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k55328200a-kia-02.jpg
2851023180,,KIA-HYUNDAI,"Коллектор с катализатором в сборе","Matrix 01~ 1,8i A/T",0,4950,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2851023180-kia-hyundai-03.jpg
868302P700,,KIA-HYUNDAI,"Подкрылок задний левый","Sorento 12-14",0,675,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/868302p700-kia-hyundai-02.jpg
976443J000,,KIA-HYUNDAI,"Крышка противопылевая","IX55 07~ Veracruz 06~",0,320,1,"Кременчуг - 1",1,
KM0400265NA,2563323000/2563323010,TOPIC-NA,"Прокладка термостата",Univ,0,9,3,"Кременчуг - 1",1,
436214C500,,KIA-HYUNDAI,"Привод спидометра","Sorento 2,5TDi",0,396,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/436214c500-kia-hyundai-02.jpg
8635143700,8635143003,KIA-HYUNDAI,"Заглушка замка стекла салона","H100 93~",0,18,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/8635143700-hyundai-01.jpg
282642A300,,KIA-HYUNDAI,"Патрубок интеркулера D","Matrix 01-10 1,5TDi",0,1215,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/282642a300-hyundai-02.jpg
5255XS,153RU29/153XR29/2011AAMAA4/5255XS0/CT1000/GB153290KU/KM1100030/MD327394/MFMB3024/S11BLTTM00094/XD326059/94736/1987949487/2431233110/2431233120/2431233130/2431233140/2431233150/2431233160,GATES,"Ремінь ГРМ","COLT III (C5A) - 1.8 GTi 16V (C58A) CAT",0,477,2,"Кременчуг - 1",1,
95510117311,,PORSCHE,"Б/В Кришка ланцюга газорозподільного механізму","Porsche 3.6i",0,1305,1,"Кременчуг - 1",1,
F22013,281134A000/281134A001/281304A000/281304A001/A2812/A9307/ADG02241/AE358/B20512PR/C24196/EAF00076M/GFAH022/H01HD529/H02AIRSD00156/IPAH009/KFAH022/KM0200115/LFAF223/MAF024/PAA026/QA0812/S281304A001/SMAFH022/Y00705/820207,TANGUN,"Фильтр воздушный","H1 H200",0,113,3,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/f22013-tangun-03.jpg
587313Z010,587313Z010DS,KIA-HYUNDAI,"Шланг тормозной передний левый","I40 15~",0,1305,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/587313z010-hyundai-01.jpg
6281BGNV,,XYG,"Стекло заднее","Opel Sintra",0,1800,1,"Кременчуг - 1",1,
2742037200,,"OEM KOREA","Провод высоковольтный (свечи 1-го цилиндра)","Tucson 2,7L 04~ Sortage 2,7L 04~",0,153,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2742037200-oem-korea-02.jpg
2632027001,05072720AA/ADG02123/B10504/COF100561E/E811HD62/EEOK0001Y/EO2801/F026407069/GFLK014/HU718X/IPEO733/J1310502/KFLK014/KM0100316/LF603/LFOE220/OE674/OX384D/PBA020/S2632027000/S2632027001/SMOFH112/WL7412/XE561606/Z01OILSD00885/2631627000/2631627001/2632027000,TOPIC,"Фільтр масляний (картридж)","Sportage 06~ Trajet Tucson 06~",0,77,9,"Кременчуг - 1",1,
